26007;Ambonil;26;26800;44.8326704656, 4.89052463788
39011;Annoire;39;39120;46.9509063875, 5.4122957378
40004;Angresse;40;40150;43.6643756035, -1.39445931936
42105;Grézieux-le-Fromental;42;42600;45.6194255891, 4.06119351589
43010;Arsac-en-Velay;43;43700;45.0330729782, 3.94919030628
41006;Autainville;41;41240;47.883516552, 1.48678396082
44005;Chaumes-en-Retz;44;44320;47.2108954989, -1.99426015028
22002;Andel;22;22400;48.5016489284, -2.50647227729
23015;Azerables;23;23160;46.3627698496, 1.53929968478
24005;Alles-sur-Dordogne;24;24480;44.8133494955, 0.885908136539
